"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
PR,0,0,0,0,0,0,"3,449",0,0,0,0,"3,449"
RI,278,0,0,0,4,0,0,63,49,0,122,516
SC,"1,831",33,110,396,34,0,0,52,20,104,0,"2,580"
SD,92,16,12,6,41,0,0,373,3,5,96,644
TN,"1,049",195,175,12,517,0,0,85,96,27,0,"2,156"
TX,"8,905",294,575,"3,540",994,0,"2,938","1,264",143,"6,819",105,"25,577"
UT,"1,620",132,254,239,"1,196",0,74,29,46,713,110,"4,413"
VA,"2,272",4,11,28,213,0,21,64,124,80,4,"2,821"
VT,280,0,0,274,75,0,0,0,0,20,580,"1,229"
WA,"1,018",195,348,"3,828",229,0,"2,734",96,28,746,6,"9,228"
WI,"1,525",34,"3,951","1,126",647,0,"6,658",393,295,"3,332",11,"17,972"
WV,0,11,0,30,6,0,0,0,0,77,0,124
WY,32,0,0,0,0,0,0,1,0,7,11,51
"REPORTTOTAL","101,477","11,850","40,397","107,067","76,568",0,"41,975","22,295","14,146","128,020","4,683","548,478"
"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
AK,307,0,0,0,0,0,0,0,0,0,0,307
AL,578,127,860,32,149,0,172,186,447,993,0,"3,544"
AR,4,1,6,143,0,0,19,24,129,344,0,670
AZ,71,51,270,45,0,0,20,40,461,265,48,"1,271"
CA,"4,402",586,"1,244","3,362","5,304",0,"3,414",292,"3,410","12,003","1,049","35,066"
CO,354,69,192,689,245,0,79,121,687,378,768,"3,582"
CT,132,18,369,190,71,0,135,0,632,201,2,"1,750"
DC,104,48,10,184,72,0,152,0,653,232,9,"1,464"
DE,115,15,71,855,87,0,0,13,25,"2,305",0,"3,486"
FL,734,321,350,223,604,0,455,48,"1,252",471,204,"4,662"
GA,"2,874",166,468,448,"3,659",0,"2,070",39,831,915,77,"11,547"
HI,140,0,0,0,0,0,0,0,0,0,0,140
IA,289,445,"1,106",904,807,0,34,124,484,"3,223",226,"7,642"
ID,44,7,11,48,0,0,0,6,0,19,10,145
IL,"1,037",526,"1,508",844,"2,484",0,572,318,793,"2,599",465,"11,146"
IN,734,119,666,600,"2,158",0,0,150,689,"1,065",101,"6,282"
KS,77,19,288,519,28,0,76,69,101,289,0,"1,466"
KY,77,33,193,39,436,0,112,88,167,554,48,"1,747"
LA,773,218,459,0,229,0,"1,679",26,280,567,32,"4,263"
MA,"1,428",98,"1,034","5,586","3,017",0,"1,703",118,"2,602","5,747",461,"21,794"
MD,"3,399",61,356,"6,290","2,840",0,"2,901",537,"1,638","1,440",435,"19,897"
ME,4,0,0,0,0,0,0,0,23,0,0,27
MI,300,77,"1,488",899,283,0,340,20,"1,593","2,085",401,"7,486"
MN,172,845,"1,988","15,333",362,0,219,157,"2,899","5,649",672,"28,296"
MO,397,217,874,"1,750","4,363",0,123,46,"1,480","2,278",32,"11,560"
MS,6,5,58,68,66,0,52,33,137,"1,167",0,"1,592"
MT,87,0,0,60,399,0,5,30,0,63,19,663
NC,"5,116",843,963,911,733,0,"1,655",748,"2,666","1,112",225,"14,972"
ND,0,152,24,0,0,0,0,0,20,"1,086",0,"1,282"
NE,195,71,244,72,"1,613",0,99,90,102,374,0,"2,860"
NH,22,5,0,1,530,0,13,0,300,1,2,874
NJ,"2,185",41,"1,628","8,465","2,981",0,"1,469",0,678,"5,104",28,"22,579"
NM,367,0,130,161,0,0,327,0,0,166,0,"1,151"
NV,90,0,385,0,0,0,0,0,3,0,60,538
NY,"1,717",630,"1,428","2,101","2,412",0,422,382,"1,345","7,700",143,"18,280"
OH,"3,882",645,"1,598","1,866","1,206",0,602,299,"3,273","3,411",152,"16,934"
OK,256,35,382,82,71,0,89,92,27,161,0,"1,195"
OR,165,169,248,956,30,0,"1,457",174,547,222,225,"4,193"
PA,664,655,"1,483","4,099",514,0,"1,236",167,"2,186","11,112",532,"22,648"
PR,78,0,0,0,166,0,132,0,34,10,0,420
RI,622,0,0,71,188,0,28,0,173,357,0,"1,439"
SC,29,207,240,28,0,0,23,0,314,212,3,"1,056"
SD,22,0,0,0,0,0,7,227,15,20,34,325
TN,"1,354",60,391,163,513,0,275,130,"1,026",447,0,"4,359"
TX,"2,547",94,390,"6,531","1,283",0,"1,643","1,899","2,395","9,224",782,"26,788"
UT,672,81,285,65,77,0,13,13,170,445,128,"1,949"
VA,144,54,206,116,306,0,135,62,"5,351",601,47,"7,022"
VT,0,9,11,0,0,0,0,10,0,7,"1,131","1,168"
WA,124,68,539,261,105,0,630,66,446,833,0,"3,072"
WI,957,200,"1,702",196,569,0,"2,166",249,729,884,184,"7,836"
WV,7,39,12,0,20,0,5,0,2,197,54,336
WY,60,0,0,0,0,0,0,0,0,0,22,82
"REPORTTOTAL","39,914","8,130","26,158","65,256","40,980",0,"26,758","7,093","43,215","88,538","8,811","354,853"
"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
AK,0,0,0,0,0,0,0,0,0,0,0,0
AL,38,0,0,0,0,0,76,30,0,18,0,162
AR,0,0,0,0,0,0,0,0,0,0,0,0
AZ,6,0,0,0,0,0,0,0,28,0,0,34
CA,701,0,26,"1,757",84,0,59,0,0,305,0,"2,932"
CO,101,0,22,"1,238",388,0,12,0,0,2,10,"1,773"
CT,0,0,20,200,0,0,34,0,0,0,0,254
DC,15,0,0,282,0,0,0,0,0,0,0,297
DE,25,0,6,506,590,0,0,0,0,131,0,"1,258"
FL,3,0,0,0,154,0,2,0,0,254,0,413
GA,206,10,0,287,"2,307",0,10,29,12,"1,792",0,"4,653"
HI,0,0,0,0,0,0,0,0,0,0,0,0
IA,0,85,98,101,"12,882",0,0,0,0,0,0,"13,166"
ID,0,0,0,0,0,0,0,0,0,15,0,15
IL,1,0,1,179,8,0,0,0,152,176,0,517
IN,100,0,0,168,0,0,0,0,0,0,0,268
KS,0,0,0,0,256,0,16,0,0,4,0,276
KY,0,0,0,0,0,0,0,0,0,0,0,0
LA,94,0,0,0,0,0,23,0,0,0,0,117
MA,253,0,13,439,369,0,13,4,108,317,0,"1,516"
MD,161,0,8,"7,762","1,009",0,570,0,153,536,0,"10,199"
ME,18,0,0,0,0,0,0,0,0,0,0,18
MI,0,0,0,"7,725",0,0,82,0,0,63,47,"7,917"
MN,415,0,26,89,0,0,0,0,0,3,0,533
MO,103,1,0,0,"2,262",0,0,0,0,30,0,"2,396"
MS,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0
NC,0,0,0,364,0,0,14,0,5,28,0,411
ND,0,0,0,0,0,0,0,0,0,0,0,0
NE,195,1,1,28,613,0,0,0,0,0,0,838
NH,0,0,0,0,0,0,0,0,0,0,0,0
NJ,278,1,228,"1,830",799,0,133,0,1,599,0,"3,869"
NM,94,0,0,19,0,0,155,0,0,128,0,396
NV,0,0,0,0,0,0,0,0,0,0,0,0
NY,204,65,191,"2,299","5,071",0,13,75,0,17,0,"7,935"
OH,134,0,16,"1,413",187,0,425,0,0,329,0,"2,504"
OK,4,0,0,0,0,0,0,0,0,0,0,4
OR,0,0,0,0,0,0,0,0,0,0,0,0
PA,374,7,117,560,0,0,58,0,0,418,0,"1,534"
PR,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,0,0,0,0,0,0,0,0,0,0,0
SC,11,0,0,0,25,0,0,0,0,0,0,36
SD,0,0,0,0,0,0,0,0,119,0,0,119
TN,348,0,0,0,0,0,0,0,27,2,0,377
TX,51,10,7,"1,635",567,0,0,92,0,396,0,"2,758"
UT,0,0,0,"1,532","4,572",0,0,0,0,0,0,"6,104"
VA,0,0,0,0,360,0,16,0,0,0,0,376
VT,0,0,0,264,0,0,0,0,0,0,0,264
WA,15,0,0,98,0,0,0,0,0,0,0,113
WI,39,0,2,0,0,0,0,2,0,2,0,45
WV,0,0,0,0,0,0,0,0,0,44,0,44
WY,0,0,0,0,0,0,0,0,0,0,0,0
"REPORTTOTAL","3,987",180,782,"30,775","32,503",0,"1,711",232,605,"5,609",57,"76,441"
