Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Unnamed: 12,Year,date_year
2045.0,4191,5578,1783,,"2,464",1209,5589,25419,548,52868,PA,,2011,2011-01-01
0.0,0,0,162,,"3,798",0,33,0,0,4054,PR,,2011,2011-01-01
0.0,0,36,89,,33,14,121,266,52,1700,RI,,2011,2011-01-01
289.0,331,307,68,,47,57,409,385,6,3872,SC,,2011,2011-01-01
16.0,9,2,23,,4,355,146,4,61,1042,SD,,2011,2011-01-01
234.0,545,422,675,,265,84,1394,470,8,6988,TN,,2011,2011-01-01
415.0,1476,15209,2721,,"4,761",4969,3938,14896,963,65817,TX,,2011,2011-01-01
418.0,716,1780,2924,,8,103,175,1399,555,8781,UT,,2011,2011-01-01
65.0,186,270,396,,137,803,3572,469,80,8008,VA,,2011,2011-01-01
9.0,8,211,0,,0,2,30,4,1791,2212,VT,,2011,2011-01-01
381.0,1373,5123,94,,"3,441",390,2835,1140,16,21301,WA,,2011,2011-01-01
338.0,5805,3610,1656,,"8,481",619,1973,16819,185,45218,WI,,2011,2011-01-01
56.0,40,8,21,,0,0,5,251,83,464,WV,,2011,2011-01-01
16.0,51,4,8,,0,16,0,7,109,294,WY,,2011,2011-01-01
0.0,0,0,84,0.0,0,0,0,0,0,508,AK,,2010,2010-01-01
147.0,1894,367,588,0.0,235,986,810,1188,9,7649,AL,,2010,2010-01-01
129.0,342,248,50,0.0,70,482,573,807,0,2789,AR,,2010,2010-01-01
61.0,291,180,0,0.0,36,22,379,205,90,130029,AZ,,2010,2010-01-01
1303.0,2549,12153,5836,0.0,"4,583",8933,3758,37159,1453,105600,CA,,2010,2010-01-01
184.0,654,4639,2094,0.0,0,230,789,688,670,11707,CO,,2010,2010-01-01
2.0,382,226,533,0.0,443,1,386,684,7,6731,CT,,2010,2010-01-01
21.0,12,629,125,0.0,222,0,397,436,2,2659,DC,,2010,2010-01-01
0.0,46,429,0,0.0,0,355,18,11922,23,12862,DE,,2010,2010-01-01
487.0,612,604,357,0.0,835,648,1460,485,220,8804,FL,,2010,2010-01-01
818.0,1445,1453,9310,0.0,"2,958",1142,1334,3292,290,29024,GA,,2010,2010-01-01
1.0,0,0,0,0.0,7,0,67,42,0,183,HI,,2010,2010-01-01
724.0,1481,2777,19986,0.0,50,1441,3029,2382,454,33500,IA,,2010,2010-01-01
68.0,77,60,0,0.0,0,56,2,37,210,561,ID,,2010,2010-01-01
1212.0,3493,2717,2401,0.0,660,812,1955,3449,475,20482,IL,,2010,2010-01-01
299.0,1191,164,1463,0.0,41,216,1080,927,220,11018,IN,,2010,2010-01-01
637.0,982,719,447,0.0,187,135,244,386,164,6373,KS,,2010,2010-01-01
85.0,241,112,459,0.0,80,306,151,245,63,1828,KY,,2010,2010-01-01
169.0,455,18,119,0.0,"3,210",64,116,692,24,6433,LA,,2010,2010-01-01
136.0,2242,18031,6436,0.0,"7,458",1466,4956,13330,469,60597,MA,,2010,2010-01-01
43.0,553,17397,6580,0.0,"7,079",424,1738,5438,404,52587,MD,,2010,2010-01-01
0.0,0,0,0,114.0,0,416,29,153,1,2213,ME,,2010,2010-01-01
418.0,4424,18729,1078,0.0,"3,670",560,2108,5934,891,44311,MI,,2010,2010-01-01
2703.0,3851,17194,392,0.0,159,2445,4400,6412,1366,40825,MN,,2010,2010-01-01
1837.0,2264,5674,27939,0.0,116,526,1541,4395,129,48916,MO,,2010,2010-01-01
10.0,109,369,10,0.0,68,41,136,969,30,1908,MS,,2010,2010-01-01
0.0,3,50,477,0.0,6,151,0,386,17,1334,MT,,2010,2010-01-01
1220.0,2443,9562,956,0.0,"2,467",4976,1913,2884,232,27984,NC,,2010,2010-01-01
124.0,34,2,3,0.0,0,187,20,495,197,1415,ND,,2010,2010-01-01
