Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Year,date_year
0,0,131,0,,4,0,0,38,0,262,MN,2011,2011-01-01
146,126,0,25305,,0,0,0,31,0,25648,MO,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,MS,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,MT,2011,2011-01-01
0,0,166,0,,0,0,35,0,0,201,NC,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,ND,2011,2011-01-01
0,0,0,0,,0,0,0,21,0,21,NE,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,NH,2011,2011-01-01
30,156,1515,2058,,147,0,0,773,0,4679,NJ,2011,2011-01-01
0,0,126,0,,300,0,0,38,0,649,NM,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,NV,2011,2011-01-01
54,159,2292,5301,,7,0,0,43,0,8047,NY,2011,2011-01-01
0,0,501,206,,184,0,0,477,0,1527,OH,2011,2011-01-01
0,0,0,0,,6,0,0,0,0,120,OK,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,10,OR,2011,2011-01-01
2,12,234,0,,18,0,1545,411,0,2514,PA,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,PR,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,RI,2011,2011-01-01
0,0,0,28,,0,0,0,0,0,39,SC,2011,2011-01-01
0,0,0,0,,0,0,133,0,0,133,SD,2011,2011-01-01
0,0,0,0,,0,0,39,0,0,929,TN,2011,2011-01-01
0,0,2104,759,,25,0,46,232,0,3217,TX,2011,2011-01-01
0,0,847,2631,,0,0,0,0,0,3478,UT,2011,2011-01-01
0,0,0,168,,28,0,0,25,0,221,VA,2011,2011-01-01
0,0,47,0,,0,0,0,0,0,51,VT,2011,2011-01-01
0,0,38,0,,0,0,0,0,0,47,WA,2011,2011-01-01
0,0,0,0,,0,0,0,48,0,191,WI,2011,2011-01-01
0,0,0,0,,0,0,0,81,0,81,WV,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,WY,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,AK,2012,2012-01-01
0,0,83,0,,38,0,0,38,0,164,AL,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,AR,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,3,AZ,2012,2012-01-01
0,17,273,550,,65,0,0,369,0,1937,CA,2012,2012-01-01
104,7,783,311,,0,0,0,0,9,1393,CO,2012,2012-01-01
0,99,0,321,,14,0,0,0,0,436,CT,2012,2012-01-01
0,0,207,0,,0,0,0,0,0,416,DC,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,DE,2012,2012-01-01
0,10,38,0,,8,0,0,30,0,112,FL,2012,2012-01-01
5,24,34,1828,,18,31,18,1381,0,3717,GA,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,HI,2012,2012-01-01
0,1,119,8024,,0,0,0,2,0,8146,IA,2012,2012-01-01
0,0,0,0,,0,0,0,0,72,79,ID,2012,2012-01-01
12,3,44,10,,0,0,119,128,0,458,IL,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,12,IN,2012,2012-01-01
0,11,0,0,,6,0,0,0,0,17,KS,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,12,KY,2012,2012-01-01
0,0,0,0,,2,0,0,27,0,29,LA,2012,2012-01-01
0,0,285,418,,22,0,73,189,0,1300,MA,2012,2012-01-01
0,10,6703,656,,404,163,160,324,0,8583,MD,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,ME,2012,2012-01-01
0,1,9680,0,,80,0,28,0,243,10068,MI,2012,2012-01-01
0,0,234,28,,3,0,0,59,0,367,MN,2012,2012-01-01
22,172,0,24282,,0,0,0,0,0,24499,MO,2012,2012-01-01
0,0,0,0,,0,0,0,2,0,2,MS,2012,2012-01-01
0,0,0,0,,0,0,0,15,0,15,MT,2012,2012-01-01
0,6,454,0,,0,0,0,0,0,460,NC,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,ND,2012,2012-01-01
0,0,0,0,,0,0,0,15,0,34,NE,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,NH,2012,2012-01-01
0,61,1218,1688,,49,0,0,137,0,3159,NJ,2012,2012-01-01
0,0,41,0,,132,0,11,141,0,595,NM,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,NV,2012,2012-01-01
1,49,2025,5327,,46,0,0,256,0,8162,NY,2012,2012-01-01
0,0,1299,15,,239,0,0,538,0,2234,OH,2012,2012-01-01
0,0,0,0,,0,38,0,392,0,430,OK,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,51,OR,2012,2012-01-01
6,12,256,50,,31,0,1656,457,0,2775,PA,2012,2012-01-01
0,0,0,0,,25,0,0,0,0,25,PR,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,RI,2012,2012-01-01
0,0,0,52,,0,0,0,0,0,57,SC,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,SD,2012,2012-01-01
0,0,18,0,,0,0,69,0,0,614,TN,2012,2012-01-01
0,0,1016,696,,103,15,35,124,0,2258,TX,2012,2012-01-01
0,0,259,2097,,0,0,0,0,0,2356,UT,2012,2012-01-01
0,0,0,63,,8,0,0,1,0,72,VA,2012,2012-01-01
0,0,36,0,,0,0,0,0,0,39,VT,2012,2012-01-01
0,0,26,0,,0,0,0,0,0,43,WA,2012,2012-01-01
0,0,8,0,,0,0,0,474,0,805,WI,2012,2012-01-01
0,0,0,0,,0,0,0,70,0,70,WV,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,WY,2012,2012-01-01
0,0,0,0,,0,0,0,0,0,0,AK,2013,2013-01-01
1,0,78,0,,20,0,0,54,0,178,AL,2013,2013-01-01
