"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total
MN,285,"1,239","1,492",486,396,155,"1,991","2,532",281,258,"9,115"
MO,577,192,"1,196","3,448",200,87,"1,078","2,385",94,33,"9,290"
MS,378,12,52,0,0,75,358,171,4,71,"1,121"
MT,0,0,0,0,0,0,0,0,32,0,32
NC,527,642,"1,077",339,797,302,"1,297","1,459",40,"4,422","10,902"
ND,5,148,149,0,0,0,19,0,90,15,426
NE,68,60,83,18,487,44,152,145,6,70,"1,133"
NH,95,0,0,0,207,5,11,45,6,2,371
NJ,"1,262",225,"1,611","2,535","4,751","1,090","1,171","5,245",16,0,"17,906"
NM,49,13,80,15,65,238,81,4,0,0,545
NV,557,166,412,0,71,0,103,0,1,112,"1,422"
OH,"27,133",525,"1,406",738,480,413,"2,494","2,102",141,171,"35,603"
OK,344,47,145,113,0,99,8,87,56,100,999
OR,126,17,49,209,10,"2,175",198,321,161,13,"3,279"
PA,662,295,748,867,535,866,779,"7,014",515,261,"12,542"
PR,0,0,0,0,0,0,0,0,0,0,0
RI,652,8,5,0,204,30,140,382,0,0,"1,421"
SC,90,167,278,0,0,305,274,40,22,0,"1,176"
SD,136,0,0,0,30,3,1,13,73,28,284
TN,656,96,437,60,331,176,"1,024",33,0,85,"2,898"
TX,"2,497",97,317,232,"1,616",886,"2,714","4,365",309,"1,417","14,450"
UT,10,119,240,44,412,3,203,725,164,66,"1,986"
VA,82,86,149,318,6,69,"2,156",198,132,24,"3,220"
VT,0,5,10,0,0,0,30,4,"1,520",3,"1,572"
WA,"1,186",65,426,211,337,863,914,338,8,90,"4,438"
WI,"2,940",293,"1,077","1,121",793,"2,061",759,"2,487",216,110,"11,857"
WV,0,16,18,0,2,0,5,46,124,0,211
WY,42,28,49,0,0,0,2,2,0,2,125
"REPORTTOTAL","61,183","7,485","21,593","29,328","25,907","25,454","36,805","58,676","7,089","8,980","282,500"
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total
AK,0,0,0,0,0,0,0,0,0,0,0
AL,19,0,0,68,0,0,0,109,0,0,196
AR,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,0,0
CA,292,0,0,274,185,44,0,588,0,19,"1,402"
CO,144,0,10,306,216,0,1,0,28,0,705
CT,32,0,5,15,914,0,0,0,0,0,966
DC,31,0,0,489,0,0,0,0,0,0,520
DE,0,0,0,0,0,0,0,0,0,0,0
FL,24,0,0,92,0,7,6,36,0,0,165
GA,157,0,12,106,"2,714",2,59,"2,495",0,0,"5,545"
HI,0,0,0,0,0,0,0,0,0,0,0
IA,0,0,0,103,"7,443",0,0,0,0,0,"7,546"
ID,0,0,0,0,0,0,0,0,35,0,35
IL,238,2,4,24,24,0,227,90,0,0,609
IN,117,0,0,0,0,0,0,0,0,0,117
KS,0,0,4,0,0,6,1,2,0,0,13
KY,0,0,0,0,15,0,0,0,0,0,15
LA,0,0,0,2,0,1,0,30,0,0,33
MA,0,0,1,8,148,8,2,77,0,0,244
MD,417,0,0,"3,321",934,434,215,562,0,0,"5,883"
ME,0,0,0,0,0,0,0,0,0,0,0
MI,54,0,0,"7,905",40,16,0,62,120,0,"8,197"
MN,37,0,0,163,0,0,15,0,0,0,215
MO,22,30,119,222,"20,044",0,0,0,0,0,"20,437"
MS,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0
NC,0,0,1,612,0,0,0,0,0,0,613
ND,0,0,0,0,0,0,0,0,0,0,0
NE,0,0,0,0,0,0,0,0,0,0,0
NH,0,0,0,0,0,0,0,0,0,0,0
NJ,119,0,114,"2,632","5,646",14,8,43,0,0,"8,576"
NM,48,0,0,56,0,431,0,5,0,0,540
NV,0,0,0,0,0,0,0,0,0,0,0
NY,16,0,21,"1,054",3,11,0,10,0,0,"1,115"
OH,36,0,16,"2,100",41,270,41,118,0,0,"2,622"
OK,70,0,0,0,0,0,51,400,0,0,521
OR,235,0,0,0,0,0,0,0,0,0,235
PA,378,0,6,132,9,73,0,593,0,0,"1,191"
PR,0,0,0,0,0,0,0,0,0,0,0
RI,0,0,0,0,0,0,0,0,0,0,0
SC,250,0,0,0,53,0,0,0,0,0,303
SD,152,0,0,25,0,0,11,0,0,0,188
TN,481,0,0,0,0,0,29,94,0,0,604
TX,189,0,0,435,964,143,27,45,0,0,"1,803"
UT,0,0,0,48,802,0,0,0,0,0,850
VA,0,0,0,0,0,3,0,0,0,0,3
VT,9,0,0,20,0,0,0,0,0,0,29
WA,9,0,0,0,0,0,0,0,0,0,9
WI,220,0,0,2,0,0,0,0,0,0,222
WV,0,0,0,0,0,0,0,22,0,0,22
WY,4,0,0,0,18,0,0,0,0,0,22
"REPORTTOTAL","3,800",32,313,"20,214","40,213","1,463",693,"5,381",183,19,"72,311"
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total
AK,161,0,0,0,0,0,0,0,0,0,161
AL,"2,409",176,"1,468",177,271,236,447,"1,076",235,503,"6,998"
AR,13,184,657,95,47,127,963,"1,085",0,131,"3,302"
AZ,"3,717",729,"2,156",102,72,41,395,335,201,238,"7,986"
